model,train_accuracy,val_accuracy,test_accuracy,train_balanced_acc,val_balanced_acc,test_balanced_acc,train_f1,val_f1,test_f1
Logistic Regression,0.5842391304347826,0.4959349593495935,0.5853658536585366,0.5814229249011857,0.5004578754578755,0.5835913312693499,0.5619558875014588,0.4808006535947712,0.5627047751829906
Random Forest,1.0,0.5691056910569106,0.6910569105691057,1.0,0.451007326007326,0.580030959752322,1.0,0.43455633619568046,0.5811827956989247
XGBoost,0.9728260869565217,0.6097560975609756,0.7073170731707317,0.9565217391304348,0.4807692307692308,0.6063467492260062,0.9675828047921071,0.458547322083639,0.611851332398317
